TRUE,FALSE,,CURATED,
-0.119639018,0.482809588,,TRUE,FALSE
-0.031461862,0.547402238,,0.119639018,0.482809588
-0.027956071,0.542971283,,0.031461862,0.547402238
-0.028050546,0.485596855,,0.027956071,0.542971283
-0.027122034,0.504592585,,0.028050546,0.485596855
-0.027908935,0.530622691,,0.027122034,0.504592585
-0.02820956,0.51505555,,0.027908935,0.530622691
-0.029417136,0.524317088,,0.02820956,0.51505555
-0.028989311,0.546796429,,0.029417136,0.524317088
-0.027298918,0.510234776,,0.028989311,0.546796429
-0.02840337,0.498155141,,0.027298918,0.510234776
-0.029582952,0.489759185,,0.02840337,0.498155141
-0.028365691,0.591684332,,0.029582952,0.489759185
-0.027353076,0.48729109,,0.028365691,0.591684332
-0.030286678,0.461456897,,0.027353076,0.48729109
-0.026310183,0.473462074,,0.030286678,0.461456897
-0.028408125,0.548324588,,0.026310183,0.473462074
-0.028467711,0.520038122,,0.028408125,0.548324588
-0.02890372,0.509613951,,0.028467711,0.520038122
-0.026448501,0.477122128,,0.02890372,0.509613951
0.398006307,0.462799596,,0.026448501,0.477122128
0.452920286,0.522357387,,0.398006307,0.462799596
0.432630042,0.469437742,,0.452920286,0.522357387
0.438283543,0.518831117,,0.432630042,0.469437742
0.455448821,0.491522111,,0.438283543,0.518831117
0.46870282,0.536836406,,0.455448821,0.491522111
0.45463103,0.488375194,,0.46870282,0.536836406
0.47583447,0.497615502,,0.45463103,0.488375194
0.62006069,0.510499139,,0.47583447,0.497615502
0.456612945,0.53374644,,0.62006069,0.510499139
0.458591565,0.533205054,,0.456612945,0.53374644
0.45562272,0.523171302,,0.458591565,0.533205054
0.441687608,0.556077808,,0.45562272,0.523171302
0.44864368,0.551187412,,0.441687608,0.556077808
0.450546096,0.355938353,,0.44864368,0.551187412
0.440427409,0.457503083,,0.450546096,0.355938353
0.455776285,0.442403573,,0.440427409,0.457503083
0.477130274,0.465795486,,0.455776285,0.442403573
0.443643445,0.452724218,,0.477130274,0.465795486
0.443897765,0.363608124,,0.443643445,0.452724218
0.469294189,0.449041234,,0.443897765,0.363608124
0.456715298,0.521440584,,0.469294189,0.449041234
0.449335088,0.475016092,,0.456715298,0.521440584
0.516542124,0.448772117,,0.449335088,0.475016092
0.452536374,0.51031777,,0.516542124,0.448772117
0.372344682,0.458155214,,0.452536374,0.51031777
0.481819453,0.457150444,,0.372344682,0.458155214
0.442112526,0.470852349,,0.481819453,0.457150444
0.448512629,0.438383895,,0.442112526,0.470852349
0.448006752,0.44941148,,0.448512629,0.438383895
0.441170765,0.437037253,,0.448006752,0.44941148
0.355752867,0.489811368,,0.441170765,0.437037253
0.440778906,0.46118894,,0.355752867,0.489811368
