TRUE,FALSE,,CURATED,
-0.119639018,0.482809588,,0.119639018,0.482809588
-0.031461862,0.547402238,,0.031461862,0.547402238
-0.027956071,0.542971283,,0.027956071,0.542971283
-0.028050546,0.485596855,,0.028050546,0.485596855
-0.027122034,0.504592585,,0.027122034,0.504592585
-0.027908935,0.530622691,,0.027908935,0.530622691
-0.02820956,0.51505555,,0.02820956,0.51505555
-0.029417136,0.524317088,,0.029417136,0.524317088
-0.028989311,0.546796429,,0.028989311,0.546796429
-0.027298918,0.510234776,,0.027298918,0.510234776
-0.02840337,0.498155141,,0.02840337,0.498155141
-0.029582952,0.489759185,,0.029582952,0.489759185
-0.028365691,0.591684332,,0.028365691,0.591684332
-0.027353076,0.48729109,,0.027353076,0.48729109
-0.030286678,0.461456897,,0.030286678,0.461456897
-0.026310183,0.473462074,,0.026310183,0.473462074
-0.028408125,0.548324588,,0.028408125,0.548324588
-0.028467711,0.520038122,,0.028467711,0.520038122
-0.02890372,0.509613951,,0.02890372,0.509613951
-0.026448501,0.477122128,,0.026448501,0.477122128
0.398006307,0.462799596,,0.398006307,0.462799596
0.452920286,0.522357387,,0.452920286,0.522357387
0.432630042,0.469437742,,0.432630042,0.469437742
0.438283543,0.518831117,,0.438283543,0.518831117
0.455448821,0.491522111,,0.455448821,0.491522111
0.46870282,0.536836406,,0.46870282,0.536836406
0.45463103,0.488375194,,0.45463103,0.488375194
0.47583447,0.497615502,,0.47583447,0.497615502
0.62006069,0.510499139,,0.62006069,0.510499139
0.456612945,0.53374644,,0.456612945,0.53374644
0.458591565,0.533205054,,0.458591565,0.533205054
0.45562272,0.523171302,,0.45562272,0.523171302
0.441687608,0.556077808,,0.441687608,0.556077808
0.44864368,0.551187412,,0.44864368,0.551187412
0.450546096,0.355938353,,0.450546096,0.355938353
0.440427409,0.457503083,,0.440427409,0.457503083
0.455776285,0.442403573,,0.455776285,0.442403573
0.477130274,0.465795486,,0.477130274,0.465795486
0.443643445,0.452724218,,0.443643445,0.452724218
0.443897765,0.363608124,,0.443897765,0.363608124
0.469294189,0.449041234,,0.469294189,0.449041234
0.456715298,0.521440584,,0.456715298,0.521440584
0.449335088,0.475016092,,0.449335088,0.475016092
0.516542124,0.448772117,,0.516542124,0.448772117
0.452536374,0.51031777,,0.452536374,0.51031777
0.372344682,0.458155214,,0.372344682,0.458155214
0.481819453,0.457150444,,0.481819453,0.457150444
0.442112526,0.470852349,,0.442112526,0.470852349
0.448512629,0.438383895,,0.448512629,0.438383895
0.448006752,0.44941148,,0.448006752,0.44941148
0.441170765,0.437037253,,0.441170765,0.437037253
0.355752867,0.489811368,,0.355752867,0.489811368
0.440778906,0.46118894,,0.440778906,0.46118894
0.461906835,0.462715148,,0.461906835,0.462715148
0.448763094,0.441325197,,0.448763094,0.441325197
0.442719494,0.44519635,,0.442719494,0.44519635
0.455969515,-15.76109021,,0.455969515,0.028656951
0.548298537,-0.028656951,,0.548298537,0.030685473
0.481552046,-0.030685473,,0.481552046,0.526261447
0.440072757,0.526261447,,0.440072757,0.526834233
0.522463686,0.526834233,,0.522463686,0.552809284
0.458424465,0.552809284,,0.458424465,0.375234676
0.467789066,0.375234676,,0.467789066,0.483347308
0.458194236,0.483347308,,0.458194236,0.493277856
0.452327515,0.493277856,,0.452327515,0.486242331
0.441683873,0.486242331,,0.441683873,0.428680046
0.479684117,0.428680046,,0.479684117,0.432326103
0.520738061,0.432326103,,0.520738061,0.432225201
0.501158258,0.432225201,,0.501158258,0.43112593
0.442880467,0.43112593,,0.442880467,0.431938177
0.449886828,0.431938177,,0.449886828,0.394245983
0.443452397,0.394245983,,0.443452397,0.358843011
0.444828433,0.358843011,,0.444828433,0.382859665
0.472899244,0.382859665,,0.472899244,0.388411705
0.442512542,0.388411705,,0.442512542,0.510355209
0.394014897,0.510355209,,0.394014897,0.523528095
0.463506057,0.523528095,,0.463506057,0.557820068
0.536481519,0.557820068,,0.536481519,0.512914478
0.523152963,0.512914478,,0.523152963,0.484851229
0.511718656,0.484851229,,0.511718656,0.480674931
0.55177022,0.480674931,,0.55177022,0.486934332
0.544592236,0.486934332,,0.544592236,0.586065464
0.654187482,0.586065464,,0.654187482,0.512082714
0.451196379,0.512082714,,0.451196379,0.52060335
0.394920303,0.52060335,,0.394920303,0.538801774
0.433855716,0.538801774,,0.433855716,0.542230838
0.438436021,0.542230838,,0.438436021,0.52908223
0.467848218,0.52908223,,0.467848218,0.526770169
0.513864865,0.526770169,,0.513864865,0.529481374
0.577584041,0.529481374,,0.577584041,0.531193534
0.602179166,0.531193534,,0.602179166,0.53619219
0.480936401,0.53619219,,0.480936401,0.532847518
